Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,97.452200,-75.272800,0.000000,top
C1,108.966000,-78.181200,0.000000,top
C2,97.582300,-78.168800,0.000000,top
C3,94.894200,-62.294000,-90.000000,top
C4,109.173800,-54.432200,90.000000,top
C5,96.809400,-51.811400,0.000000,top
C6,96.809400,-53.691000,0.000000,top
C7,104.601800,-54.432200,90.000000,top
D1,97.368200,-57.501000,0.000000,top
D2,108.769000,-60.087800,0.000000,top
J1,90.775000,-35.340800,0.000000,top
J2,113.635000,-35.340800,0.000000,top
J3,102.637850,-88.045600,0.000000,top
R1,98.104800,-82.139000,180.000000,top
R2,106.969400,-82.139000,0.000000,top
R3,99.923400,-63.627000,-90.000000,top
R4,97.422000,-64.511400,0.000000,top
R5,105.689400,-78.181200,180.000000,top
R6,104.577900,-57.610800,90.000000,top
R7,107.054900,-58.360600,180.000000,top
R8,109.505500,-57.598600,-90.000000,top
RESET1,107.569000,-75.285600,0.000000,top
U1,101.879850,-81.885000,-90.000000,top
U2,97.419000,-62.073000,0.000000,top
U3,102.206000,-41.844200,0.000000,top
U4,106.914700,-55.865000,0.000000,top